"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","petal.Breadth"
5.1,3.5,1.4,0.2,"setosa",0.2
4.9,3,1.4,0.2,"setosa",0.2
4.7,3.2,1.3,0.2,"setosa",0.2
4.6,3.1,1.5,0.2,"setosa",0.2
5,3.6,1.4,0.2,"setosa",0.2
5.4,9.3,1.7,0.4,"setosa",0.4
4.6,3.4,1.4,0.3,"setosa",0.3
5,3.4,1.5,0.2,"setosa",0.2
4.4,2.9,1.4,0.2,"setosa",0.2
4.9,3.1,1.5,0.1,"setosa",0.1
5.4,3.7,1.5,0.2,"setosa",0.2
4.8,3.4,1.6,0.2,"setosa",0.2
4.8,3,1.4,0.1,"setosa",0.1
4.3,3,1.1,0.1,"setosa",0.1
5.8,4,1.2,0.2,"setosa",0.2
5.7,4.4,1.5,0.4,"setosa",0.4
5.4,3.9,1.3,0.4,"setosa",0.4
5.1,3.5,1.4,0.3,"setosa",0.3
5.7,3.8,1.7,0.3,"setosa",0.3
5.1,3.8,1.5,0.3,"setosa",0.3
5.4,3.4,1.7,0.2,"setosa",0.2
5.1,3.7,1.5,0.4,"setosa",0.4
4.6,3.6,1,0.2,"setosa",0.2
5.1,3.3,1.7,0.5,"setosa",0.5
4.8,3.4,1.9,0.2,"setosa",0.2
5,3,1.6,0.2,"setosa",0.2
5,3.4,1.6,0.4,"setosa",0.4
5.2,3.5,1.5,0.2,"setosa",0.2
5.2,3.4,1.4,0.2,"setosa",0.2
4.7,3.2,1.6,0.2,"setosa",0.2
4.8,3.1,1.6,0.2,"setosa",0.2
5.4,3.4,1.5,0.4,"setosa",0.4
5.2,4.1,1.5,0.1,"setosa",0.1
5.5,4.2,1.4,0.2,"setosa",0.2
4.9,3.1,1.5,0.2,"setosa",0.2
5,3.2,1.2,0.2,"setosa",0.2
5.5,3.5,1.3,0.2,"setosa",0.2
4.9,3.6,1.4,0.1,"setosa",0.1
4.4,3,1.3,0.2,"setosa",0.2
5.1,3.4,1.5,0.2,"setosa",0.2
5,3.5,1.3,0.3,"setosa",0.3
4.5,2.3,1.3,0.3,"setosa",0.3
4.4,3.2,1.3,0.2,"setosa",0.2
5,3.5,1.6,0.6,"setosa",0.6
5.1,3.8,1.9,0.4,"setosa",0.4
4.8,3,1.4,0.3,"setosa",0.3
5.1,3.8,1.6,0.2,"setosa",0.2
4.6,3.2,1.4,0.2,"setosa",0.2
5.3,3.7,1.5,0.2,"setosa",0.2
5,3.3,1.4,0.2,"setosa",0.2
7,3.2,0.047,1.4,"versicolor",1.4
6.4,3.2,0.045,1.5,"versicolor",1.5
6.9,3.1,0.049,1.5,"versicolor",1.5
5.5,2.3,0.04,1.3,"versicolor",1.3
6.5,2.8,0.046,1.5,"versicolor",1.5
5.7,2.8,0.045,1.3,"versicolor",1.3
6.3,3.3,0.047,1.6,"versicolor",1.6
4.9,2.4,0.033,1,"versicolor",1
6.6,2.9,0.046,1.3,"versicolor",1.3
5.2,2.7,0.039,1.4,"versicolor",1.4
5,2,0.035,1,"versicolor",1
5.9,3,0.042,1.5,"versicolor",1.5
NA,2.2,0.04,1,"versicolor",1
6.1,2.9,0.047,1.4,"versicolor",1.4
5.6,2.9,0.036,1.3,"versicolor",1.3
6.7,3.1,0.044,1.4,"versicolor",1.4
5.6,3,0.045,1.5,"versicolor",1.5
5.8,2.7,0.041,1,"versicolor",1
6.2,2.2,0.045,1.5,"versicolor",1.5
5.6,2.5,0.039,1.1,"versicolor",1.1
5.9,3.2,0.048,1.8,"versicolor",1.8
6.1,2.8,0.04,1.3,"versicolor",1.3
6.3,2.5,0.049,1.5,"versicolor",1.5
6.1,2.8,0.047,1.2,"versicolor",1.2
6.4,2.9,0.043,1.3,"versicolor",1.3
6.6,3,0.044,1.4,"versicolor",1.4
6.8,2.8,0.048,1.4,"versicolor",1.4
6.7,3,0.05,1.7,"versicolor",1.7
6,2.9,0.045,1.5,"versicolor",1.5
5.7,2.6,0.035,1,"versicolor",1
5.5,2.4,0.038,1.1,"versicolor",1.1
5.5,2.4,0.037,1,"versicolor",1
5.8,2.7,0.039,1.2,"versicolor",1.2
6,2.7,0.051,1.6,"versicolor",1.6
5.4,3,0.045,1.5,"versicolor",1.5
6,3.4,0.045,1.6,"versicolor",1.6
6.7,3.1,0.047,1.5,"versicolor",1.5
6.3,2.3,0.044,1.3,"versicolor",1.3
5.6,3,0.041,1.3,"versicolor",1.3
5.5,2.5,0.04,1.3,"versicolor",1.3
5.5,2.6,0.044,1.2,"versicolor",1.2
6.1,3,0.046,1.4,"versicolor",1.4
5.8,2.6,0.04,1.2,"versicolor",1.2
5,2.3,0.033,1,"versicolor",1
5.6,2.7,0.042,1.3,"versicolor",1.3
5.7,3,0.042,1.2,"versicolor",1.2
5.7,2.9,0.042,1.3,"versicolor",1.3
6.2,2.9,0.043,1.3,"versicolor",1.3
5.1,2.5,0.03,1.1,"versicolor",1.1
5.7,2.8,0.041,1.3,"versicolor",1.3
6.3,3.3,6,2.5,"virginica",2.5
5.8,2.7,5.1,1.9,"virginica",1.9
7.1,3,5.9,2.1,"virginica",2.1
NA,2.9,5.6,1.8,"virginica",1.8
6.5,3,5.8,2.2,"virginica",2.2
7.6,3,6.6,2.1,"virginica",2.1
4.9,2.5,4.5,1.7,"virginica",1.7
7.3,2.9,6.3,1.8,"virginica",1.8
6.7,2.5,5.8,1.8,"virginica",1.8
7.2,3.6,6.1,2.5,"virginica",2.5
6.5,3.2,5.1,2,"virginica",2
6.4,2.7,5.3,1.9,"virginica",1.9
6.8,3,5.5,2.1,"virginica",2.1
5.7,2.5,5,2,"virginica",2
5.8,2.8,5.1,2.4,"virginica",2.4
6.4,3.2,5.3,2.3,"virginica",2.3
6.5,3,5.5,1.8,"virginica",1.8
7.7,3.8,6.7,2.2,"virginica",2.2
7.7,2.6,6.9,2.3,"virginica",2.3
6,2.2,5,1.5,"virginica",1.5
6.9,3.2,5.7,2.3,"virginica",2.3
5.6,2.8,4.9,2,"virginica",2
7.7,2.8,6.7,2,"virginica",2
6.3,2.7,4.9,1.8,"virginica",1.8
6.7,3.3,5.7,2.1,"virginica",2.1
7.2,3.2,6,1.8,"virginica",1.8
6.2,2.8,4.8,1.8,"virginica",1.8
6.1,3,4.9,1.8,"virginica",1.8
6.4,2.8,5.6,2.1,"virginica",2.1
7.2,3,5.8,1.6,"virginica",1.6
7.4,2.8,6.1,1.9,"virginica",1.9
7.9,3.8,6.4,2,"virginica",2
6.4,2.8,5.6,2.2,"virginica",2.2
6.3,2.8,5.1,1.5,"virginica",1.5
6.1,2.6,5.6,1.4,"virginica",1.4
7.7,3,6.1,2.3,"virginica",2.3
6.3,3.4,5.6,2.4,"virginica",2.4
6.4,3.1,5.5,1.8,"virginica",1.8
6,3,4.8,1.8,"virginica",1.8
6.9,3.1,5.4,2.1,"virginica",2.1
6.7,3.1,5.6,2.4,"virginica",2.4
6.9,3.1,5.1,2.3,"virginica",2.3
5.8,2.7,5.1,1.9,"virginica",1.9
6.8,3.2,5.9,2.3,"virginica",2.3
6.7,3.3,5.7,2.5,"virginica",2.5
6.7,3,5.2,2.3,"virginica",2.3
6.3,2.5,5,1.9,"virginica",1.9
6.5,3,5.2,2,"virginica",2
6.2,3.4,5.4,2.3,"virginica",2.3
5.9,3,5.1,1.8,"virginica",1.8
